ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504220740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-22 10:09:00,1,10,13
-1029224351861462659-2504220740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-22 10:09:00,1,10,14
-1029224351861462659-2504220740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-22 10:09:00,1,10,5
-1029224351861462659-2504220740,ICE 2570,Göttingen,Berlin Hbf,2025-04-22 10:09:00,1,10,10
-1029224351861462659-2504220740,ICE 2570,Göttingen,Berlin Südkreuz,2025-04-22 10:09:00,1,10,12
-1029224351861462659-2504220740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-22 10:37:00,1,10,13
-1029224351861462659-2504220740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-22 10:37:00,1,10,14
-1029224351861462659-2504220740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-22 10:37:00,1,10,5
-1029224351861462659-2504220740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-22 10:37:00,1,10,10
-1029224351861462659-2504220740,ICE 2570,Hildesheim Hbf,Berlin Südkreuz,2025-04-22 10:37:00,1,10,12
-1029224351861462659-2504220740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-22 11:03:00,1,11,14
-1029224351861462659-2504220740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-22 11:03:00,1,11,5
-1029224351861462659-2504220740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-22 11:03:00,1,11,10
-1029224351861462659-2504220740,ICE 2570,Braunschweig Hbf,Berlin Südkreuz,2025-04-22 11:03:00,1,11,12
-1029224351861462659-2504220740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-22 11:20:00,1,11,5
-1029224351861462659-2504220740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-22 11:20:00,1,11,10
-1029224351861462659-2504220740,ICE 2570,Wolfsburg Hbf,Berlin Südkreuz,2025-04-22 11:20:00,1,11,12
-1029224351861462659-2504220740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-22 12:24:00,1,12,10
-1029224351861462659-2504220740,ICE 2570,Berlin-Spandau,Berlin Südkreuz,2025-04-22 12:24:00,1,12,12
