ride_id,train_name,station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest,time_hour,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-19 09:49:00,5,9,7,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-19 09:49:00,5,9,8,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-19 09:49:00,5,9,6,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-19 09:49:00,5,9,8,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-19 09:49:00,5,9,6,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-19 09:49:00,5,9,8,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Ostbahnhof,2025-04-19 09:49:00,5,9,15,2025-04-19 09:00:00,2025-04-19 09:00:00,8.72,87.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-19 10:09:00,5,10,8,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-19 10:09:00,5,10,6,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-19 10:09:00,5,10,8,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-19 10:09:00,5,10,6,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin Hbf,2025-04-19 10:09:00,5,10,8,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin Ostbahnhof,2025-04-19 10:09:00,5,10,15,2025-04-19 10:00:00,2025-04-19 10:00:00,9.02,85.0,1.43,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-19 10:37:00,5,10,6,2025-04-19 10:00:00,2025-04-19 10:00:00,10.69,100.0,1.65,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-19 10:37:00,5,10,8,2025-04-19 10:00:00,2025-04-19 10:00:00,10.69,100.0,1.65,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-19 10:37:00,5,10,6,2025-04-19 10:00:00,2025-04-19 10:00:00,10.69,100.0,1.65,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-19 10:37:00,5,10,8,2025-04-19 10:00:00,2025-04-19 10:00:00,10.69,100.0,1.65,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin Ostbahnhof,2025-04-19 10:37:00,5,10,15,2025-04-19 10:00:00,2025-04-19 10:00:00,10.69,100.0,1.65,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-19 11:03:00,5,11,8,2025-04-19 11:00:00,2025-04-19 11:00:00,7.66,92.0,1.54,light intensity shower rain,0.14,0.0
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-19 11:03:00,5,11,6,2025-04-19 11:00:00,2025-04-19 11:00:00,7.66,92.0,1.54,light intensity shower rain,0.14,0.0
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-19 11:03:00,5,11,8,2025-04-19 11:00:00,2025-04-19 11:00:00,7.66,92.0,1.54,light intensity shower rain,0.14,0.0
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin Ostbahnhof,2025-04-19 11:03:00,5,11,15,2025-04-19 11:00:00,2025-04-19 11:00:00,7.66,92.0,1.54,light intensity shower rain,0.14,0.0
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-19 11:20:00,5,11,6,2025-04-19 11:00:00,2025-04-19 11:00:00,7.47,99.0,2.1,moderate rain,2.05,0.0
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-19 11:20:00,5,11,8,2025-04-19 11:00:00,2025-04-19 11:00:00,7.47,99.0,2.1,moderate rain,2.05,0.0
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin Ostbahnhof,2025-04-19 11:20:00,5,11,15,2025-04-19 11:00:00,2025-04-19 11:00:00,7.47,99.0,2.1,moderate rain,2.05,0.0
-1029224351861462659-2504190740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-19 12:18:00,5,12,8,2025-04-19 12:00:00,2025-04-19 12:00:00,7.6,99.0,3.72,light rain,0.13,0.0
-1029224351861462659-2504190740,ICE 2570,Berlin-Spandau,Berlin Ostbahnhof,2025-04-19 12:18:00,5,12,15,2025-04-19 12:00:00,2025-04-19 12:00:00,7.6,99.0,3.72,light rain,0.13,0.0
-1029224351861462659-2504190740,ICE 2570,Berlin Hbf,Berlin Ostbahnhof,2025-04-19 12:36:00,5,12,15,2025-04-19 12:00:00,2025-04-19 12:00:00,7.6,99.0,3.72,light rain,0.13,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-20 07:40:00,6,7,0,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-20 07:40:00,6,7,1,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-20 07:40:00,6,7,0,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-20 07:40:00,6,7,0,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-20 07:40:00,6,7,0,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-20 07:40:00,6,7,3,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-20 07:40:00,6,7,0,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Frankfurt(Main)Hbf,Berlin Ostbahnhof,2025-04-20 07:40:00,6,7,-1,2025-04-20 07:00:00,2025-04-20 07:00:00,7.52,85.0,3.09,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-20 09:49:00,6,9,1,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-20 09:49:00,6,9,0,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-20 09:49:00,6,9,0,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-20 09:49:00,6,9,0,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-20 09:49:00,6,9,3,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-20 09:49:00,6,9,0,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Ostbahnhof,2025-04-20 09:49:00,6,9,-1,2025-04-20 09:00:00,2025-04-20 09:00:00,8.72,81.0,1.54,clear sky,0.0,0.0
-1029224351861462659-2504200740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-20 10:09:00,6,10,0,2025-04-20 10:00:00,2025-04-20 10:00:00,12.37,74.0,0.93,clear sky,0.0,0.0
